id_factura,id_proveedor,monto_usd,area_interna,fecha,articulos
FAC-00162,PROV-0440,"5918,77",Finanzas,11/7/2025,SKU-8812
FAC-00163,PROV-0672,"9652,35",Finanzas,2/10/2025,SKU-7601
FAC-00172,PROV-0334,"11043,39",Finanzas,5/11/2025,SKU-2207
FAC-00184,PROV-0528,"8618,99",Finanzas,27/1/2025,SKU-7400
FAC-00185,PROV-0962,"7592,17",Finanzas,30/9/2025,SKU-1915
FAC-00187,PROV-0130,"12482,07",Finanzas,14/3/2025,SKU-1976
FAC-00196,PROV-0171,"8204,68",Finanzas,2/9/2025,SKU-4027
FAC-00204,PROV-0129,"14965,07",Finanzas,6/11/2025,SKU-8978
FAC-00212,PROV-0999,"3658,51",Finanzas,3/11/2025,SKU-1975
FAC-00218,PROV-0509,"8402,71",Finanzas,25/5/2025,SKU-7981
FAC-00219,PROV-0756,"7468,73",Finanzas,4/2/2025,SKU-1537
FAC-00226,PROV-0706,"8850,03",Finanzas,15/10/2025,SKU-5388
FAC-00233,PROV-0782,"12997,88",Finanzas,4/4/2025,SKU-5195
FAC-00235,PROV-0067,"1494,81",Finanzas,24/3/2025,SKU-1440
FAC-00252,PROV-0694,"12571,05",Finanzas,26/3/2025,SKU-5473
FAC-00254,PROV-0220,"7657,77",Finanzas,8/6/2025,SKU-1910
FAC-00268,PROV-0919,"12767,11",Finanzas,13/3/2025,SKU-1771
FAC-00270,PROV-0269,"7594,56",Finanzas,21/4/2025,SKU-4022
FAC-00272,PROV-0055,"2531,35",Finanzas,21/12/2025,SKU-5136
FAC-00274,PROV-0218,"3814,82",Finanzas,24/1/2025,SKU-5336
FAC-00288,PROV-0923,"9304,58",Finanzas,24/3/2025,SKU-9536
FAC-00296,PROV-0077,"13029,2",Finanzas,25/5/2025,SKU-4850
FAC-00297,PROV-0112,"3437,67",Finanzas,28/4/2025,SKU-7009
FAC-00298,PROV-0865,"13669,74",Finanzas,26/7/2025,SKU-4720
FAC-00302,PROV-0573,"14612,17",Finanzas,10/1/2025,SKU-8106
FAC-00317,PROV-0770,"7609,62",Finanzas,9/7/2025,SKU-9754
FAC-00322,PROV-0282,9668,Finanzas,24/9/2025,SKU-2153
FAC-00324,PROV-0271,"4851,88",Finanzas,24/12/2025,SKU-4886
FAC-00326,PROV-0802,"3849,79",Finanzas,23/1/2025,SKU-9130
FAC-00336,PROV-0904,"5176,42",Finanzas,16/11/2025,SKU-4378
FAC-00338,PROV-0039,"1644,86",Finanzas,18/2/2025,SKU-5869
FAC-00343,PROV-0430,"11278,68",Finanzas,21/1/2025,SKU-4411
FAC-00353,PROV-0090,"2960,13",Finanzas,22/2/2025,SKU-6494
FAC-00355,PROV-0997,"13667,96",Finanzas,2/7/2025,SKU-1549
FAC-00357,PROV-0401,"5111,75",Finanzas,18/11/2025,SKU-1309
FAC-00359,PROV-0566,"4057,7",Finanzas,29/5/2025,SKU-6114
FAC-00367,PROV-0360,"14487,28",Finanzas,22/8/2025,SKU-6290
FAC-00368,PROV-0828,"1055,22",Finanzas,2/7/2025,SKU-6550
FAC-00386,PROV-0111,"11179,5",Finanzas,17/4/2025,SKU-9374
FAC-00388,PROV-0890,"4009,61",Finanzas,29/9/2025,SKU-4071
FAC-00391,PROV-0051,"9335,07",Finanzas,15/1/2025,SKU-6825
FAC-00398,PROV-0176,"7599,72",Finanzas,7/4/2025,SKU-1829
FAC-00401,PROV-0951,"12603,62",Finanzas,18/2/2025,SKU-9680
FAC-00425,PROV-0660,"9652,37",Finanzas,27/7/2025,SKU-3611
FAC-00440,PROV-0767,"4697,45",Finanzas,3/6/2025,SKU-8886
FAC-00494,PROV-0094,"1797,4",Finanzas,9/1/2025,SKU-8722
FAC-00510,PROV-0579,"6001,02",Finanzas,12/3/2025,SKU-9833
FAC-00521,PROV-0762,"1639,68",Finanzas,15/12/2025,SKU-5429
FAC-00533,PROV-0352,"5583,72",Finanzas,1/7/2025,SKU-7928
FAC-00536,PROV-0087,"13736,39",Finanzas,4/8/2025,SKU-2322
FAC-00537,PROV-0727,"4255,27",Finanzas,13/6/2025,SKU-5581
FAC-00546,PROV-0589,"2916,57",Finanzas,18/8/2025,SKU-4282
FAC-00555,PROV-0966,"9881,01",Finanzas,7/1/2025,SKU-1665
FAC-00563,PROV-0975,"4906,2",Finanzas,7/8/2025,SKU-4042
FAC-00569,PROV-0435,"8613,78",Finanzas,19/12/2025,SKU-5451
FAC-00572,PROV-0654,"10286,98",Finanzas,28/2/2025,SKU-1664
FAC-00573,PROV-0449,"13122,2",Finanzas,2/1/2025,SKU-2562
FAC-00578,PROV-0823,"1756,8",Finanzas,13/2/2025,SKU-4732
FAC-00582,PROV-0631,"5020,71",Finanzas,4/5/2025,SKU-5767
FAC-00586,PROV-0009,"14919,08",Finanzas,2/6/2025,SKU-3344
FAC-00589,PROV-0477,"14217,72",Finanzas,7/11/2025,SKU-6818
FAC-00594,PROV-0500,"7194,23",Finanzas,30/10/2025,SKU-2939
FAC-00596,PROV-0538,"5846,08",Finanzas,16/10/2025,SKU-6139
FAC-00597,PROV-0554,"3712,83",Finanzas,25/11/2025,SKU-4717
FAC-00601,PROV-0610,"10586,33",Finanzas,17/8/2025,SKU-1761
FAC-00605,PROV-0687,"14650,23",Finanzas,12/5/2025,SKU-6481
FAC-00607,PROV-0029,"12466,99",Finanzas,13/5/2025,SKU-3573
FAC-00611,PROV-0735,"7687,06",Finanzas,17/8/2025,SKU-3782
FAC-00626,PROV-0143,"12688,48",Finanzas,9/2/2025,SKU-7582
FAC-00627,PROV-0544,"6015,95",Finanzas,18/9/2025,SKU-4571
FAC-00630,PROV-0866,"3061,4",Finanzas,18/1/2025,SKU-9502
FAC-00642,PROV-0175,"5914,98",Finanzas,24/6/2025,SKU-4798
FAC-00643,PROV-0970,"4016,68",Finanzas,13/3/2025,SKU-9633
FAC-00661,PROV-0716,"2372,54",Finanzas,23/2/2025,SKU-9937
FAC-00684,PROV-0541,"8326,09",Finanzas,16/9/2025,SKU-8248
FAC-00685,PROV-0846,"14712,39",Finanzas,5/8/2025,SKU-3099
FAC-00692,PROV-0600,"4746,86",Finanzas,3/11/2025,SKU-5200
FAC-00701,PROV-0640,"9412,38",Finanzas,30/5/2025,SKU-3854
FAC-00703,PROV-0717,"6504,64",Finanzas,17/8/2025,SKU-6651
FAC-00710,PROV-0834,"7422,96",Finanzas,8/4/2025,SKU-3844
FAC-00719,PROV-0210,"1547,83",Finanzas,4/7/2025,SKU-6076
FAC-00726,PROV-0996,"2258,6",Finanzas,1/9/2025,SKU-8668
FAC-00731,PROV-0585,"1725,39",Finanzas,15/11/2025,SKU-8349
FAC-00742,PROV-0581,"9039,64",Finanzas,20/12/2025,SKU-1868
FAC-00748,PROV-0614,"14804,26",Finanzas,24/7/2025,SKU-5323
FAC-00750,PROV-0861,"8134,46",Finanzas,8/8/2025,SKU-2834
FAC-00758,PROV-0679,"211,72",Finanzas,30/1/2025,SKU-2139
FAC-00759,PROV-0701,"14545,6",Finanzas,27/2/2025,SKU-7189
FAC-00768,PROV-0172,"856,99",Finanzas,15/2/2025,SKU-3587
FAC-00786,PROV-0957,"12442,3",Finanzas,17/10/2025,SKU-5871
FAC-00788,PROV-0101,"11408,44",Finanzas,23/9/2025,SKU-3720
FAC-00797,PROV-0724,"14276,33",Finanzas,16/6/2025,SKU-4651
FAC-00801,PROV-0166,"9182,87",Finanzas,3/4/2025,SKU-8795
FAC-00807,PROV-0412,"1681,06",Finanzas,7/5/2025,SKU-9005
FAC-00810,PROV-0433,"9301,77",Finanzas,27/7/2025,SKU-8621
FAC-00826,PROV-0702,"11439,31",Finanzas,30/10/2025,SKU-8530
FAC-00835,PROV-0814,"11596,61",Finanzas,23/4/2025,SKU-9492
FAC-00838,PROV-0725,"6539,98",Finanzas,18/11/2025,SKU-2533
FAC-00854,PROV-0058,"10502,19",Finanzas,3/4/2025,SKU-8372
FAC-00859,PROV-0012,"14812,97",Finanzas,20/12/2025,SKU-3744
FAC-00865,PROV-0411,"8045,74",Finanzas,28/9/2025,SKU-4804
FAC-00879,PROV-0040,"1407,96",Finanzas,10/9/2025,SKU-3251
FAC-00887,PROV-0795,"4602,16",Finanzas,22/2/2025,SKU-8451
FAC-00895,PROV-0809,"4543,41",Finanzas,10/1/2025,SKU-6556
FAC-00903,PROV-0931,"8939,21",Finanzas,22/1/2025,SKU-8289
FAC-00904,PROV-0560,"5157,28",Finanzas,13/2/2025,SKU-5484
FAC-00908,PROV-0822,"14166,88",Finanzas,3/1/2025,SKU-9795
FAC-00914,PROV-0637,"762,97",Finanzas,20/10/2025,SKU-4838
FAC-00921,PROV-0542,"845,91",Finanzas,28/8/2025,SKU-2022
FAC-00924,PROV-0533,"7107,54",Finanzas,27/6/2025,SKU-1439
FAC-00935,PROV-0530,"2996,61",Finanzas,30/11/2025,SKU-7411
FAC-00938,PROV-0616,"6621,1",Finanzas,24/9/2025,SKU-5587
FAC-00942,PROV-0373,"11821,57",Finanzas,28/10/2025,SKU-7847
FAC-00944,PROV-0859,"7956,37",Finanzas,30/8/2025,SKU-3160
FAC-00945,PROV-0597,"285,7",Finanzas,6/10/2025,SKU-7431
FAC-00948,PROV-0879,"12246,77",Finanzas,3/12/2025,SKU-2932
FAC-00951,PROV-0405,"8636,02",Finanzas,24/1/2025,SKU-8541
FAC-00954,PROV-0317,"12022,3",Finanzas,13/8/2025,SKU-5336
FAC-00965,PROV-0456,"12574,13",Finanzas,13/12/2025,SKU-3244
FAC-00969,PROV-0447,"13229,4",Finanzas,1/12/2025,SKU-4966
FAC-00970,PROV-0787,"9733,89",Finanzas,23/6/2025,SKU-3772
FAC-00972,PROV-0758,"14944,81",Finanzas,5/6/2025,SKU-2272
FAC-00979,PROV-0978,"3276,04",Finanzas,26/8/2025,SKU-9691
FAC-00982,PROV-0472,"5277,2",Finanzas,3/4/2025,SKU-8612
FAC-00986,PROV-0781,"9256,67",Finanzas,8/10/2025,SKU-1624
FAC-01000,PROV-0470,"10165,31",Finanzas,19/1/2025,SKU-9753
FAC-01004,PROV-0788,"3451,76",Finanzas,27/1/2025,SKU-7077
FAC-01008,PROV-0890,"14300,78",Finanzas,12/11/2025,SKU-5949
FAC-01027,PROV-0681,"5941,51",Finanzas,22/7/2025,SKU-8138
FAC-01030,PROV-0525,"14532,03",Finanzas,7/4/2025,SKU-3409
FAC-01032,PROV-0188,"2350,52",Finanzas,16/8/2025,SKU-9368
FAC-01046,PROV-0951,"14179,63",Finanzas,19/12/2025,SKU-5748
FAC-01047,PROV-0011,"6876,26",Finanzas,26/12/2025,SKU-8950
FAC-01056,PROV-0107,"8781,73",Finanzas,15/7/2025,SKU-3465
FAC-01067,PROV-0839,"1363,84",Finanzas,15/2/2025,SKU-5949
FAC-01069,PROV-0596,"9715,2",Finanzas,30/6/2025,SKU-9420
FAC-01074,PROV-0755,"989,22",Finanzas,27/4/2025,SKU-5916
FAC-01082,PROV-0664,"6371,55",Finanzas,1/10/2025,SKU-6308
FAC-01086,PROV-0523,"7259,39",Finanzas,27/1/2025,SKU-1195
FAC-01097,PROV-0551,"1552,77",Finanzas,18/7/2025,SKU-6453
FAC-01100,PROV-0861,"5283,76",Finanzas,2/3/2025,SKU-1716
FAC-01103,PROV-0933,"382,73",Finanzas,30/7/2025,SKU-4816
FAC-01104,PROV-0141,"1193,18",Finanzas,20/6/2025,SKU-3876
FAC-01105,PROV-0981,"13462,26",Finanzas,14/4/2025,SKU-8394
FAC-01128,PROV-0942,"4926,33",Finanzas,12/10/2025,SKU-4370
FAC-01129,PROV-0680,"6683,07",Finanzas,12/10/2025,SKU-3954
FAC-01138,PROV-0066,"4525,15",Finanzas,28/9/2025,SKU-9148
FAC-01140,PROV-0307,"7964,44",Finanzas,17/5/2025,SKU-2142
FAC-01146,PROV-0658,"2038,47",Finanzas,5/2/2025,SKU-3741
FAC-01148,PROV-0663,"7823,95",Finanzas,6/2/2025,SKU-3802
FAC-01158,PROV-0734,"9404,84",Finanzas,21/6/2025,SKU-6550
FAC-01171,PROV-0503,"5098,49",Finanzas,26/9/2025,SKU-1747
FAC-01172,PROV-0687,"1274,79",Finanzas,6/11/2025,SKU-8843
FAC-01180,PROV-0795,"2964,33",Finanzas,14/2/2025,SKU-5405
FAC-01190,PROV-0673,"4231,05",Finanzas,18/3/2025,SKU-1170
FAC-01195,PROV-0546,"13500,64",Finanzas,5/7/2025,SKU-4962
FAC-01204,PROV-0505,"10298,81",Finanzas,9/10/2025,SKU-2265
FAC-01215,PROV-0509,"674,44",Finanzas,5/12/2025,SKU-2246
FAC-01220,PROV-0491,"10260,26",Finanzas,18/12/2025,SKU-5228
FAC-01222,PROV-0125,"3029,93",Finanzas,8/12/2025,SKU-4613
FAC-01225,PROV-0305,"13238,37",Finanzas,30/3/2025,SKU-5006
FAC-01227,PROV-0637,"9704,44",Finanzas,18/7/2025,SKU-3594
FAC-01230,PROV-0703,"5514,34",Finanzas,15/1/2025,SKU-1048
FAC-01233,PROV-0073,"9816,2",Finanzas,11/9/2025,SKU-6063
FAC-01244,PROV-0344,"355,48",Finanzas,27/2/2025,SKU-1766
FAC-01245,PROV-0337,"10245,84",Finanzas,26/3/2025,SKU-4126
FAC-01254,PROV-0006,"6060,36",Finanzas,3/3/2025,SKU-3331
FAC-01256,PROV-0267,"12700,68",Finanzas,29/6/2025,SKU-5188
FAC-01264,PROV-0359,"11884,07",Finanzas,28/7/2025,SKU-8953
FAC-01266,PROV-0080,"3863,26",Finanzas,21/4/2025,SKU-5142
FAC-01267,PROV-0637,"7664,42",Finanzas,16/7/2025,SKU-8808
FAC-01280,PROV-0658,"7883,82",Finanzas,24/6/2025,SKU-8483
FAC-01282,PROV-0315,"3258,57",Finanzas,13/5/2025,SKU-7960
FAC-01283,PROV-0178,"9720,85",Finanzas,22/3/2025,SKU-9645
FAC-01284,PROV-0577,"7184,54",Finanzas,21/6/2025,SKU-9108
FAC-01286,PROV-0555,"9000,98",Finanzas,21/7/2025,SKU-3290
FAC-01300,PROV-0236,"386,99",Finanzas,8/4/2025,SKU-2597
FAC-01309,PROV-0872,"3947,07",Finanzas,30/9/2025,SKU-2534
FAC-01310,PROV-0938,"6307,89",Finanzas,13/3/2025,SKU-1229
FAC-01319,PROV-0447,"4005,1",Finanzas,7/11/2025,SKU-5052
FAC-01326,PROV-0550,"9816,5",Finanzas,17/5/2025,SKU-1245
FAC-01332,PROV-0635,"8223,82",Finanzas,22/9/2025,SKU-2165
FAC-01341,PROV-0838,"2281,14",Finanzas,1/12/2025,SKU-6302
FAC-01351,PROV-0327,"6233,21",Finanzas,20/8/2025,SKU-2920
FAC-01354,PROV-0692,"12505,38",Finanzas,14/2/2025,SKU-8296
FAC-01358,PROV-0374,"13165,22",Finanzas,14/5/2025,SKU-4079
FAC-01368,PROV-0724,"14141,74",Finanzas,31/10/2025,SKU-6525
FAC-01375,PROV-0080,"8645,7",Finanzas,23/9/2025,SKU-6926
FAC-01385,PROV-0489,"7962,36",Finanzas,20/11/2025,SKU-5597
FAC-01395,PROV-0293,"14946,44",Finanzas,18/12/2025,SKU-3928
FAC-01411,PROV-0895,"3527,12",Finanzas,7/12/2025,SKU-8999
FAC-01435,PROV-0854,"1511,69",Finanzas,25/10/2025,SKU-8779
FAC-01441,PROV-0369,"12872,77",Finanzas,22/1/2025,SKU-2091
FAC-01443,PROV-0905,"11611,73",Finanzas,7/3/2025,SKU-5429
FAC-01447,PROV-0952,"4207,35",Finanzas,19/6/2025,SKU-8141
FAC-01449,PROV-0137,"11050,2",Finanzas,14/6/2025,SKU-9753
FAC-01450,PROV-0609,"7272,2",Finanzas,28/10/2025,SKU-7294
FAC-01469,PROV-0767,"5822,77",Finanzas,24/6/2025,SKU-7877
FAC-01470,PROV-0540,"2080,43",Finanzas,7/10/2025,SKU-9441
FAC-01472,PROV-0836,"10391,24",Finanzas,10/2/2025,SKU-5353
FAC-01475,PROV-0904,"4621,49",Finanzas,25/6/2025,SKU-9540
FAC-01496,PROV-0683,"14237,82",Finanzas,20/10/2025,SKU-4193
FAC-01502,PROV-0042,"5061,97",Finanzas,6/3/2025,SKU-5081
FAC-01503,PROV-0084,"7384,31",Finanzas,17/8/2025,SKU-4794
FAC-01504,PROV-0588,"14618,07",Finanzas,9/1/2025,SKU-6973
FAC-01509,PROV-0105,"7801,43",Finanzas,11/7/2025,SKU-2488
FAC-01510,PROV-0573,"9455,43",Finanzas,5/9/2025,SKU-7758
FAC-01511,PROV-0132,"620,16",Finanzas,15/1/2025,SKU-7612
FAC-01512,PROV-0745,"3460,77",Finanzas,30/7/2025,SKU-1287
FAC-01514,PROV-0923,"7655,27",Finanzas,18/6/2025,SKU-9131
FAC-01518,PROV-0524,"1755,28",Finanzas,20/4/2025,SKU-5966
FAC-01526,PROV-0090,"12066,28",Finanzas,27/7/2025,SKU-8360
FAC-01528,PROV-0076,"2135,75",Finanzas,20/6/2025,SKU-7570
FAC-01529,PROV-0542,"10951,23",Finanzas,14/7/2025,SKU-3607
FAC-01533,PROV-0802,"5870,97",Finanzas,29/12/2025,SKU-2090
FAC-01538,PROV-0797,"14335,25",Finanzas,23/10/2025,SKU-2563
FAC-01541,PROV-0166,"11877,61",Finanzas,13/11/2025,SKU-3824
FAC-01542,PROV-0516,"1300,58",Finanzas,19/4/2025,SKU-6780
FAC-01545,PROV-0770,"341,37",Finanzas,24/11/2025,SKU-4638
FAC-01548,PROV-0183,"4821,44",Finanzas,1/8/2025,SKU-2426
FAC-01553,PROV-0677,"1453,68",Finanzas,6/3/2025,SKU-5315
FAC-01577,PROV-0916,"658,97",Finanzas,1/12/2025,SKU-8468
FAC-01578,PROV-0070,"13664,37",Finanzas,2/5/2025,SKU-6112
FAC-01580,PROV-0060,"12046,65",Finanzas,1/2/2025,SKU-3372
FAC-01585,PROV-0932,"5816,91",Finanzas,4/4/2025,SKU-9324
FAC-01589,PROV-0640,"2799,24",Finanzas,12/7/2025,SKU-8923
FAC-01592,PROV-0574,"10589,24",Finanzas,26/1/2025,SKU-2936
FAC-01598,PROV-0043,"7042,21",Finanzas,22/6/2025,SKU-4825
FAC-01600,PROV-0941,"13804,71",Finanzas,30/9/2025,SKU-5408
FAC-01603,PROV-0507,"12360,97",Finanzas,23/11/2025,SKU-3692
FAC-01611,PROV-0327,"899,23",Finanzas,13/4/2025,SKU-9671
FAC-01614,PROV-0273,"11634,86",Finanzas,28/9/2025,SKU-7756
FAC-01615,PROV-0126,"8384,51",Finanzas,25/3/2025,SKU-1688
FAC-01621,PROV-0592,"4320,47",Finanzas,5/12/2025,SKU-6204
FAC-01623,PROV-0166,"5432,15",Finanzas,6/9/2025,SKU-4135
FAC-01624,PROV-0499,"2673,74",Finanzas,22/9/2025,SKU-6057
FAC-01628,PROV-0149,"3382,19",Finanzas,10/3/2025,SKU-4172
FAC-01630,PROV-0988,"5107,03",Finanzas,19/6/2025,SKU-6954
FAC-01636,PROV-0916,"14977,68",Finanzas,27/4/2025,SKU-7288
FAC-01650,PROV-0269,"4393,12",Finanzas,23/3/2025,SKU-1353
FAC-01655,PROV-0661,"14590,93",Finanzas,6/8/2025,SKU-1385
FAC-01657,PROV-0648,"2677,73",Finanzas,10/2/2025,SKU-5150
FAC-01660,PROV-0565,"13618,52",Finanzas,24/4/2025,SKU-8605
FAC-01667,PROV-0439,"14355,31",Finanzas,15/5/2025,SKU-7972
FAC-01679,PROV-0281,"4224,73",Finanzas,22/8/2025,SKU-4037
FAC-01680,PROV-0365,"11599,01",Finanzas,19/6/2025,SKU-1090
FAC-01694,PROV-0925,"3487,84",Finanzas,3/3/2025,SKU-4935
FAC-01700,PROV-0418,"11491,65",Finanzas,13/3/2025,SKU-1880
FAC-01710,PROV-0734,"8899,81",Finanzas,13/7/2025,SKU-7348
FAC-01713,PROV-0891,"11917,38",Finanzas,23/5/2025,SKU-2009
FAC-01716,PROV-0999,"6517,96",Finanzas,25/8/2025,SKU-6548
FAC-01717,PROV-0574,"1707,5",Finanzas,23/10/2025,SKU-4726
FAC-01719,PROV-0988,"14866,44",Finanzas,22/6/2025,SKU-1942
FAC-01722,PROV-0032,"7922,39",Finanzas,17/12/2025,SKU-7205
FAC-01739,PROV-0385,"11033,64",Finanzas,5/10/2025,SKU-6199
FAC-01742,PROV-0100,"227,41",Finanzas,29/3/2025,SKU-6545
FAC-01752,PROV-0290,"13494,76",Finanzas,25/7/2025,SKU-7097
FAC-01753,PROV-0952,"13400,39",Finanzas,5/8/2025,SKU-6134
FAC-01757,PROV-0518,"8411,31",Finanzas,16/5/2025,SKU-9427
FAC-01758,PROV-0382,"12014,45",Finanzas,10/3/2025,SKU-6192
FAC-01760,PROV-0498,"4323,93",Finanzas,20/1/2025,SKU-5726
FAC-01761,PROV-0754,"13967,79",Finanzas,4/8/2025,SKU-6600
FAC-01765,PROV-0819,"2163,07",Finanzas,11/3/2025,SKU-2863
FAC-01766,PROV-0115,"6266,95",Finanzas,27/6/2025,SKU-9732
FAC-01773,PROV-0961,"1318,19",Finanzas,14/3/2025,SKU-7375
FAC-01778,PROV-0093,"3559,04",Finanzas,18/4/2025,SKU-2908
FAC-01782,PROV-0165,"4797,9",Finanzas,18/6/2025,SKU-5487
FAC-01783,PROV-0631,"8861,4",Finanzas,18/12/2025,SKU-1500
FAC-01795,PROV-0358,"14521,09",Finanzas,2/5/2025,SKU-6312
FAC-01799,PROV-0185,"7042,25",Finanzas,7/3/2025,SKU-8504
FAC-01812,PROV-0940,"14270,56",Finanzas,19/4/2025,SKU-3642
FAC-01815,PROV-0770,"13469,53",Finanzas,10/7/2025,SKU-2500
FAC-01824,PROV-0598,"8138,38",Finanzas,30/11/2025,SKU-7251
FAC-01825,PROV-0436,"9295,2",Finanzas,8/4/2025,SKU-7027
FAC-01831,PROV-0987,"13548,09",Finanzas,11/2/2025,SKU-6617
FAC-01833,PROV-0375,"1980,02",Finanzas,20/4/2025,SKU-5087
FAC-01836,PROV-0752,"7628,08",Finanzas,19/8/2025,SKU-9182
FAC-01839,PROV-0711,"9741,25",Finanzas,23/8/2025,SKU-6196
FAC-01842,PROV-0278,"7600,55",Finanzas,22/10/2025,SKU-4595
FAC-01843,PROV-0332,"7067,96",Finanzas,30/9/2025,SKU-6077
FAC-01844,PROV-0783,"12954,27",Finanzas,27/9/2025,SKU-4632
FAC-01854,PROV-0982,"12727,77",Finanzas,15/2/2025,SKU-3893
FAC-01855,PROV-0969,"7801,39",Finanzas,11/1/2025,SKU-1037
FAC-01856,PROV-0416,"4206,37",Finanzas,20/10/2025,SKU-7206
FAC-01869,PROV-0895,"8724,27",Finanzas,23/10/2025,SKU-9670
FAC-01870,PROV-0762,"5818,19",Finanzas,21/1/2025,SKU-5243
FAC-01872,PROV-0904,"4221,78",Finanzas,21/2/2025,SKU-6833
FAC-01876,PROV-0197,"4030,53",Finanzas,17/6/2025,SKU-8147
FAC-01887,PROV-0063,"6851,37",Finanzas,19/7/2025,SKU-1252
FAC-01889,PROV-0934,"8363,59",Finanzas,17/4/2025,SKU-7044
FAC-01896,PROV-0092,"3990,02",Finanzas,2/3/2025,SKU-2896
FAC-01899,PROV-0929,"6896,77",Finanzas,29/11/2025,SKU-4437
FAC-01904,PROV-0494,"3704,56",Finanzas,17/4/2025,SKU-3361
FAC-01923,PROV-0114,"8145,46",Finanzas,7/8/2025,SKU-1644
FAC-01924,PROV-0020,"8397,61",Finanzas,25/7/2025,SKU-9479
FAC-01933,PROV-0216,"3110,78",Finanzas,13/7/2025,SKU-2285
FAC-01935,PROV-0170,"8181,95",Finanzas,1/11/2025,SKU-7780
FAC-01946,PROV-0320,"7215,88",Finanzas,30/10/2025,SKU-3841
FAC-01970,PROV-0185,"12344,12",Finanzas,8/8/2025,SKU-7794
FAC-01973,PROV-0553,"4130,5",Finanzas,31/1/2025,SKU-6567
FAC-01976,PROV-0956,"12818,34",Finanzas,20/4/2025,SKU-7824
FAC-01977,PROV-0907,"8592,25",Finanzas,11/9/2025,SKU-9192
FAC-01979,PROV-0596,"14635,46",Finanzas,4/12/2025,SKU-1479
FAC-01982,PROV-0700,"6105,34",Finanzas,8/2/2025,SKU-1761
FAC-01984,PROV-0020,"12335,89",Finanzas,18/8/2025,SKU-1719
FAC-01992,PROV-0301,"2392,46",Finanzas,13/1/2025,SKU-4683
FAC-01994,PROV-0244,"10153,34",Finanzas,6/6/2025,SKU-3263
FAC-02000,PROV-0547,"10662,38",Finanzas,6/4/2025,SKU-8583
FAC-02002,PROV-0512,"9044,5",Finanzas,6/7/2025,SKU-8290
FAC-02004,PROV-0171,"6102,24",Finanzas,24/1/2025,SKU-5661
FAC-02014,PROV-0955,"273,98",Finanzas,23/11/2025,SKU-2013
FAC-02019,PROV-0304,"6745,17",Finanzas,6/6/2025,SKU-4962
FAC-02021,PROV-0261,"4402,44",Finanzas,7/2/2025,SKU-1386
FAC-02030,PROV-0849,"10956,59",Finanzas,2/3/2025,SKU-3807
FAC-02044,PROV-0900,"7379,83",Finanzas,4/12/2025,SKU-2464
FAC-02046,PROV-0187,"6955,12",Finanzas,12/3/2025,SKU-7443
FAC-02054,PROV-0425,"8724,82",Finanzas,17/3/2025,SKU-9624
FAC-02061,PROV-0785,"13018,4",Finanzas,17/8/2025,SKU-7752
FAC-02062,PROV-0092,"4401,7",Finanzas,2/11/2025,SKU-9401
FAC-02066,PROV-0013,"12384,26",Finanzas,11/1/2025,SKU-5996
FAC-02069,PROV-0811,"13445,88",Finanzas,30/1/2025,SKU-9501
FAC-02071,PROV-0151,"11837,27",Finanzas,26/1/2025,SKU-1776
