id_proveedor,cuit,nombre,provincia,rubro
PROV-0043,30-60953818-5,Empresa PROV-0043,Buenos Aires,Catering
PROV-0044,30-66816041-1,Empresa PROV-0044,Mendoza,Catering
PROV-0045,30-13872402-8,Empresa PROV-0045,Santa Fe,Catering
PROV-0046,30-32997571-9,Empresa PROV-0046,Neuquén,Consultoría
PROV-0047,30-74181370-7,Empresa PROV-0047,Córdoba,Limpieza
PROV-0048,30-79993982-0,Empresa PROV-0048,Neuquén,Librería
PROV-0049,30-34449607-1,Empresa PROV-0049,Neuquén,Mantenimiento
PROV-0050,30-63059093-6,Empresa PROV-0050,Buenos Aires,Consultoría
PROV-0051,30-17902894-5,Empresa PROV-0051,Mendoza,Librería
PROV-0052,30-27372538-1,Empresa PROV-0052,Córdoba,Catering
PROV-0053,30-36952437-1,Empresa PROV-0053,Córdoba,Catering
PROV-0054,30-67935430-3,Empresa PROV-0054,Mendoza,Catering
PROV-0055,30-20757739-3,Empresa PROV-0055,Buenos Aires,Limpieza
PROV-0056,30-63213938-6,Empresa PROV-0056,Buenos Aires,Catering
PROV-0057,30-45637574-0,Empresa PROV-0057,Neuquén,Hardware
PROV-0058,30-41138367-0,Empresa PROV-0058,Buenos Aires,Hardware
PROV-0059,30-22607764-7,Empresa PROV-0059,CABA,Hardware
PROV-0060,30-85219604-7,Empresa PROV-0060,Buenos Aires,Librería
PROV-0061,30-22383298-5,Empresa PROV-0061,Neuquén,Consultoría
PROV-0062,30-15368108-2,Empresa PROV-0062,CABA,Mantenimiento
PROV-0063,30-52305820-4,Empresa PROV-0063,Buenos Aires,Hardware
PROV-0064,30-46916759-8,Empresa PROV-0064,Córdoba,Consultoría
PROV-0065,30-51347335-6,Empresa PROV-0065,CABA,Librería
PROV-0066,30-95063206-2,Empresa PROV-0066,Buenos Aires,Limpieza
PROV-0067,30-27630810-7,Empresa PROV-0067,Santa Fe,Limpieza
PROV-0068,30-73945655-0,Empresa PROV-0068,CABA,Mantenimiento
PROV-0069,30-98862103-8,Empresa PROV-0069,Santa Fe,Consultoría
PROV-0070,30-66616553-1,Empresa PROV-0070,Santa Fe,Catering
PROV-0071,30-25281447-2,Empresa PROV-0071,Mendoza,Hardware
PROV-0072,30-36829591-0,Empresa PROV-0072,Neuquén,Consultoría
PROV-0073,30-29843314-9,Empresa PROV-0073,Neuquén,Consultoría
PROV-0074,30-56637380-4,Empresa PROV-0074,Córdoba,Mantenimiento
PROV-0075,30-83479103-6,Empresa PROV-0075,Neuquén,Librería
PROV-0076,30-26921054-3,Empresa PROV-0076,Mendoza,Hardware
PROV-0077,30-78677273-0,Empresa PROV-0077,Córdoba,Limpieza
PROV-0078,30-76031779-8,Empresa PROV-0078,Mendoza,Librería
PROV-0079,30-80950779-6,Empresa PROV-0079,Buenos Aires,Librería
PROV-0080,30-85391296-7,Empresa PROV-0080,Mendoza,Hardware
PROV-0081,30-40804300-7,Empresa PROV-0081,Mendoza,Limpieza
PROV-0082,30-49129377-4,Empresa PROV-0082,Córdoba,Catering
PROV-0083,30-43846457-9,Empresa PROV-0083,Neuquén,Limpieza
PROV-0084,30-77366901-1,Empresa PROV-0084,CABA,Mantenimiento
PROV-0085,30-81029974-5,Empresa PROV-0085,Santa Fe,Hardware
PROV-0086,30-32601284-6,Empresa PROV-0086,Santa Fe,Librería
PROV-0087,30-86490819-3,Empresa PROV-0087,Buenos Aires,Catering
PROV-0088,30-54615734-4,Empresa PROV-0088,Córdoba,Librería
PROV-0089,30-55973062-3,Empresa PROV-0089,CABA,Mantenimiento
PROV-0090,30-68494624-0,Empresa PROV-0090,Buenos Aires,Librería
PROV-0091,30-62777471-3,Empresa PROV-0091,Córdoba,Hardware
PROV-0092,30-60546029-3,Empresa PROV-0092,Neuquén,Catering
PROV-0093,30-30998238-7,Empresa PROV-0093,Mendoza,Limpieza
PROV-0094,30-39351477-3,Empresa PROV-0094,Neuquén,Mantenimiento
PROV-0095,30-92484569-2,Empresa PROV-0095,CABA,Consultoría
PROV-0096,30-60706152-6,Empresa PROV-0096,Buenos Aires,Librería
PROV-0097,30-96483818-5,Empresa PROV-0097,Santa Fe,Mantenimiento
PROV-0098,30-21085097-1,Empresa PROV-0098,Neuquén,Catering
PROV-0099,30-20823893-4,Empresa PROV-0099,Santa Fe,Catering
PROV-0100,30-40458970-4,Empresa PROV-0100,Santa Fe,Librería
PROV-0101,30-24339103-3,Empresa PROV-0101,Buenos Aires,Hardware
PROV-0102,30-61053963-4,Empresa PROV-0102,Neuquén,Librería
PROV-0103,30-90131170-8,Empresa PROV-0103,Mendoza,Librería
PROV-0104,30-89053471-2,Empresa PROV-0104,Santa Fe,Catering
PROV-0105,30-23312871-3,Empresa PROV-0105,Buenos Aires,Consultoría
PROV-0106,30-84604190-2,Empresa PROV-0106,Neuquén,Consultoría
PROV-0107,30-89763604-4,Empresa PROV-0107,Neuquén,Consultoría
PROV-0108,30-35927770-0,Empresa PROV-0108,Buenos Aires,Hardware
PROV-0109,30-60824083-2,Empresa PROV-0109,Mendoza,Limpieza
PROV-0110,30-83243449-4,Empresa PROV-0110,Santa Fe,Limpieza
PROV-0111,30-73991307-2,Empresa PROV-0111,Santa Fe,Limpieza
PROV-0112,30-80751299-5,Empresa PROV-0112,Córdoba,Consultoría
PROV-0113,30-59797729-6,Empresa PROV-0113,Buenos Aires,Mantenimiento
PROV-0114,30-21564644-7,Empresa PROV-0114,Mendoza,Consultoría
PROV-0115,30-77952524-3,Empresa PROV-0115,Buenos Aires,Librería
PROV-0116,30-33450422-1,Empresa PROV-0116,CABA,Mantenimiento
PROV-0117,30-11303272-5,Empresa PROV-0117,CABA,Hardware
PROV-0118,30-88055123-7,Empresa PROV-0118,Córdoba,Limpieza
PROV-0119,30-88588210-2,Empresa PROV-0119,Mendoza,Mantenimiento
PROV-0120,30-14260495-7,Empresa PROV-0120,Córdoba,Consultoría
PROV-0121,30-87670035-0,Empresa PROV-0121,Córdoba,Librería
PROV-0122,30-57007319-2,Empresa PROV-0122,CABA,Limpieza
PROV-0123,30-80879785-1,Empresa PROV-0123,Mendoza,Mantenimiento
PROV-0124,30-46708732-3,Empresa PROV-0124,Mendoza,Hardware
PROV-0125,30-76193398-9,Empresa PROV-0125,Córdoba,Consultoría
PROV-0126,30-84889290-8,Empresa PROV-0126,Córdoba,Librería
PROV-0127,30-49684551-7,Empresa PROV-0127,Neuquén,Limpieza
PROV-0128,30-68356060-1,Empresa PROV-0128,Neuquén,Mantenimiento
PROV-0129,30-10547566-1,Empresa PROV-0129,Neuquén,Limpieza
PROV-0130,30-14738658-7,Empresa PROV-0130,Buenos Aires,Mantenimiento
PROV-0131,30-33996444-5,Empresa PROV-0131,Mendoza,Mantenimiento
PROV-0132,30-95112463-6,Empresa PROV-0132,Buenos Aires,Hardware
PROV-0133,30-35585138-1,Empresa PROV-0133,Mendoza,Limpieza
PROV-0134,30-96411110-8,Empresa PROV-0134,Neuquén,Librería
PROV-0135,30-53555573-7,Empresa PROV-0135,Córdoba,Hardware
PROV-0136,30-74989203-8,Empresa PROV-0136,Mendoza,Mantenimiento
PROV-0137,30-81330693-1,Empresa PROV-0137,Buenos Aires,Hardware
PROV-0138,30-88844627-8,Empresa PROV-0138,CABA,Catering
PROV-0139,30-17388085-3,Empresa PROV-0139,Córdoba,Librería
PROV-0140,30-86262522-3,Empresa PROV-0140,Neuquén,Catering
PROV-0141,30-23665011-0,Empresa PROV-0141,Neuquén,Consultoría
PROV-0142,30-22893214-1,Empresa PROV-0142,CABA,Consultoría
PROV-0143,30-20078730-2,Empresa PROV-0143,Santa Fe,Consultoría
PROV-0144,30-13197382-0,Empresa PROV-0144,Santa Fe,Hardware
PROV-0145,30-22448543-7,Empresa PROV-0145,Córdoba,Mantenimiento
PROV-0146,30-79738983-5,Empresa PROV-0146,Santa Fe,Limpieza
PROV-0147,30-34361588-9,Empresa PROV-0147,Córdoba,Hardware
PROV-0148,30-59716040-0,Empresa PROV-0148,Neuquén,Catering
PROV-0149,30-92647159-1,Empresa PROV-0149,Santa Fe,Hardware
PROV-0150,30-50409037-0,Empresa PROV-0150,Santa Fe,Limpieza
PROV-0151,30-57960179-2,Empresa PROV-0151,Mendoza,Consultoría
PROV-0152,30-77695115-2,Empresa PROV-0152,Mendoza,Librería
PROV-0153,30-20400213-9,Empresa PROV-0153,Mendoza,Limpieza
PROV-0154,30-66503621-4,Empresa PROV-0154,Córdoba,Mantenimiento
PROV-0155,30-78516411-2,Empresa PROV-0155,CABA,Consultoría
PROV-0156,30-11936145-9,Empresa PROV-0156,Neuquén,Hardware
PROV-0157,30-83910325-4,Empresa PROV-0157,Mendoza,Mantenimiento
PROV-0158,30-40884669-4,Empresa PROV-0158,CABA,Librería
PROV-0159,30-82918419-0,Empresa PROV-0159,CABA,Mantenimiento
PROV-0160,30-48278415-3,Empresa PROV-0160,Mendoza,Consultoría
PROV-0161,30-38536351-9,Empresa PROV-0161,Mendoza,Catering
PROV-0162,30-19778872-3,Empresa PROV-0162,Mendoza,Consultoría
PROV-0163,30-66370683-1,Empresa PROV-0163,Córdoba,Catering
PROV-0164,30-74809235-4,Empresa PROV-0164,Neuquén,Librería
PROV-0165,30-86535348-4,Empresa PROV-0165,Córdoba,Catering
PROV-0166,30-54517036-3,Empresa PROV-0166,Buenos Aires,Hardware
PROV-0167,30-32145403-5,Empresa PROV-0167,Buenos Aires,Librería
PROV-0168,30-48675604-5,Empresa PROV-0168,Neuquén,Mantenimiento
PROV-0169,30-34526395-1,Empresa PROV-0169,Mendoza,Librería
PROV-0170,30-21961533-3,Empresa PROV-0170,Córdoba,Catering
PROV-0171,30-45112393-6,Empresa PROV-0171,Mendoza,Catering
PROV-0172,30-42612569-3,Empresa PROV-0172,Santa Fe,Consultoría
PROV-0173,30-75938484-2,Empresa PROV-0173,Neuquén,Catering
PROV-0174,30-37566237-6,Empresa PROV-0174,Córdoba,Catering
PROV-0175,30-60865411-6,Empresa PROV-0175,Neuquén,Hardware
PROV-0176,30-35977391-1,Empresa PROV-0176,Neuquén,Librería
PROV-0177,30-91456782-4,Empresa PROV-0177,Santa Fe,Librería
PROV-0178,30-83968449-8,Empresa PROV-0178,Córdoba,Hardware
PROV-0179,30-27546049-5,Empresa PROV-0179,CABA,Hardware
PROV-0180,30-54814993-1,Empresa PROV-0180,Santa Fe,Mantenimiento
PROV-0181,30-47795849-9,Empresa PROV-0181,Mendoza,Hardware
PROV-0182,30-61029826-4,Empresa PROV-0182,Córdoba,Librería
PROV-0183,30-39312044-4,Empresa PROV-0183,Córdoba,Librería
PROV-0184,30-64278943-0,Empresa PROV-0184,Córdoba,Limpieza
PROV-0185,30-34005494-0,Empresa PROV-0185,CABA,Consultoría
PROV-0186,30-10323465-5,Empresa PROV-0186,Córdoba,Librería
PROV-0187,30-88805051-0,Empresa PROV-0187,Neuquén,Mantenimiento
PROV-0188,30-34593599-1,Empresa PROV-0188,Buenos Aires,Limpieza
PROV-0189,30-94954340-6,Empresa PROV-0189,Córdoba,Limpieza
PROV-0190,30-88206870-9,Empresa PROV-0190,CABA,Limpieza
PROV-0191,30-30943591-1,Empresa PROV-0191,Neuquén,Consultoría
PROV-0192,30-58666838-1,Empresa PROV-0192,CABA,Consultoría
PROV-0193,30-13638141-8,Empresa PROV-0193,Neuquén,Mantenimiento
PROV-0194,30-56825539-7,Empresa PROV-0194,Santa Fe,Librería
PROV-0195,30-31900159-3,Empresa PROV-0195,CABA,Librería
PROV-0196,30-95449149-1,Empresa PROV-0196,Mendoza,Consultoría
PROV-0197,30-77524295-1,Empresa PROV-0197,Buenos Aires,Limpieza
PROV-0198,30-71659594-3,Empresa PROV-0198,Santa Fe,Hardware
PROV-0199,30-35217127-4,Empresa PROV-0199,Córdoba,Consultoría
PROV-0200,30-18183663-4,Empresa PROV-0200,Córdoba,Catering
PROV-0201,30-59271047-9,Empresa PROV-0201,Buenos Aires,Librería
PROV-0202,30-87555860-5,Empresa PROV-0202,Neuquén,Catering
PROV-0203,30-21674296-5,Empresa PROV-0203,Córdoba,Mantenimiento
PROV-0204,30-10803059-3,Empresa PROV-0204,Buenos Aires,Catering
PROV-0205,30-88849240-3,Empresa PROV-0205,Neuquén,Consultoría
PROV-0206,30-32580420-6,Empresa PROV-0206,CABA,Catering
PROV-0207,30-90741643-1,Empresa PROV-0207,Neuquén,Limpieza
PROV-0208,30-58903085-3,Empresa PROV-0208,Mendoza,Librería
PROV-0209,30-32346486-3,Empresa PROV-0209,Córdoba,Hardware
PROV-0210,30-90481762-4,Empresa PROV-0210,Santa Fe,Catering
PROV-0211,30-99234060-1,Empresa PROV-0211,Mendoza,Limpieza
PROV-0212,30-93958768-6,Empresa PROV-0212,Mendoza,Limpieza
PROV-0213,30-62548018-0,Empresa PROV-0213,Buenos Aires,Consultoría
PROV-0214,30-68072196-3,Empresa PROV-0214,CABA,Mantenimiento
PROV-0215,30-57130502-1,Empresa PROV-0215,CABA,Librería
PROV-0216,30-90748220-4,Empresa PROV-0216,Córdoba,Librería
PROV-0217,30-97765522-4,Empresa PROV-0217,Mendoza,Catering
PROV-0218,30-73415257-4,Empresa PROV-0218,Mendoza,Mantenimiento
PROV-0219,30-21428234-3,Empresa PROV-0219,Mendoza,Consultoría
PROV-0220,30-98310293-8,Empresa PROV-0220,Santa Fe,Hardware
PROV-0221,30-38324620-9,Empresa PROV-0221,Buenos Aires,Limpieza
PROV-0222,30-74349488-7,Empresa PROV-0222,Córdoba,Limpieza
PROV-0223,30-36373562-8,Empresa PROV-0223,Neuquén,Librería
PROV-0224,30-24186091-7,Empresa PROV-0224,Mendoza,Catering
PROV-0225,30-44623675-5,Empresa PROV-0225,Buenos Aires,Limpieza
PROV-0226,30-84583977-7,Empresa PROV-0226,CABA,Mantenimiento
PROV-0227,30-82443582-1,Empresa PROV-0227,Buenos Aires,Hardware
PROV-0228,30-60180801-0,Empresa PROV-0228,CABA,Consultoría
PROV-0229,30-16741036-9,Empresa PROV-0229,Neuquén,Librería
PROV-0230,30-76368652-4,Empresa PROV-0230,Córdoba,Librería
PROV-0231,30-77049258-1,Empresa PROV-0231,Córdoba,Limpieza
PROV-0232,30-75430990-8,Empresa PROV-0232,Santa Fe,Catering
PROV-0233,30-43194767-5,Empresa PROV-0233,Neuquén,Hardware
PROV-0234,30-44572388-4,Empresa PROV-0234,CABA,Catering
PROV-0235,30-87088294-8,Empresa PROV-0235,Neuquén,Catering
PROV-0236,30-99173976-2,Empresa PROV-0236,CABA,Limpieza
PROV-0237,30-65648414-8,Empresa PROV-0237,Córdoba,Consultoría
PROV-0238,30-96894596-2,Empresa PROV-0238,Santa Fe,Consultoría
PROV-0239,30-77196968-5,Empresa PROV-0239,Mendoza,Consultoría
PROV-0240,30-41289587-8,Empresa PROV-0240,Santa Fe,Catering
PROV-0241,30-47108240-8,Empresa PROV-0241,Santa Fe,Mantenimiento
PROV-0242,30-88891013-8,Empresa PROV-0242,Santa Fe,Mantenimiento
PROV-0243,30-57833351-2,Empresa PROV-0243,Mendoza,Catering
PROV-0244,30-83421051-4,Empresa PROV-0244,CABA,Hardware
PROV-0245,30-13471878-5,Empresa PROV-0245,Córdoba,Catering
PROV-0246,30-50511974-4,Empresa PROV-0246,Córdoba,Limpieza
PROV-0247,30-14169958-1,Empresa PROV-0247,Buenos Aires,Hardware
PROV-0248,30-37280548-7,Empresa PROV-0248,CABA,Hardware
PROV-0249,30-22165280-6,Empresa PROV-0249,CABA,Librería
PROV-0250,30-72931569-7,Empresa PROV-0250,Santa Fe,Hardware
PROV-0251,30-70182146-0,Empresa PROV-0251,Córdoba,Mantenimiento
PROV-0252,30-89606239-3,Empresa PROV-0252,Mendoza,Librería
PROV-0253,30-67044274-3,Empresa PROV-0253,Buenos Aires,Limpieza
PROV-0254,30-80588654-7,Empresa PROV-0254,Córdoba,Consultoría
PROV-0255,30-22289249-6,Empresa PROV-0255,CABA,Consultoría
PROV-0256,30-85161523-8,Empresa PROV-0256,Santa Fe,Librería
PROV-0257,30-55739041-2,Empresa PROV-0257,Buenos Aires,Consultoría
PROV-0258,30-63565727-7,Empresa PROV-0258,Neuquén,Consultoría
PROV-0259,30-53438649-9,Empresa PROV-0259,Neuquén,Limpieza
PROV-0260,30-90153460-2,Empresa PROV-0260,Buenos Aires,Consultoría
PROV-0261,30-24184206-9,Empresa PROV-0261,Buenos Aires,Hardware
PROV-0262,30-69699289-4,Empresa PROV-0262,Santa Fe,Limpieza
PROV-0263,30-41618676-5,Empresa PROV-0263,Neuquén,Limpieza
PROV-0264,30-98496283-3,Empresa PROV-0264,Buenos Aires,Mantenimiento
PROV-0265,30-53204288-6,Empresa PROV-0265,Mendoza,Consultoría
PROV-0266,30-64145412-4,Empresa PROV-0266,Santa Fe,Librería
PROV-0267,30-56444459-7,Empresa PROV-0267,Santa Fe,Hardware
PROV-0268,30-22457102-0,Empresa PROV-0268,Santa Fe,Hardware
PROV-0269,30-83713610-1,Empresa PROV-0269,Mendoza,Mantenimiento
PROV-0270,30-46516749-6,Empresa PROV-0270,Santa Fe,Librería
PROV-0271,30-43681504-7,Empresa PROV-0271,Neuquén,Mantenimiento
PROV-0272,30-37394837-0,Empresa PROV-0272,Mendoza,Consultoría
PROV-0273,30-10341773-1,Empresa PROV-0273,Mendoza,Mantenimiento
PROV-0274,30-32162367-1,Empresa PROV-0274,Mendoza,Catering
PROV-0275,30-60355044-2,Empresa PROV-0275,Neuquén,Catering
PROV-0276,30-67539690-3,Empresa PROV-0276,Córdoba,Limpieza
PROV-0277,30-68110258-9,Empresa PROV-0277,Córdoba,Catering
PROV-0278,30-84679294-8,Empresa PROV-0278,Neuquén,Limpieza
PROV-0279,30-62438854-3,Empresa PROV-0279,Santa Fe,Consultoría
PROV-0280,30-26059325-8,Empresa PROV-0280,Córdoba,Mantenimiento
PROV-0281,30-73162647-6,Empresa PROV-0281,Neuquén,Consultoría
PROV-0282,30-11324848-7,Empresa PROV-0282,Mendoza,Limpieza
PROV-0283,30-63025453-6,Empresa PROV-0283,Buenos Aires,Consultoría
PROV-0284,30-88019224-0,Empresa PROV-0284,Mendoza,Catering
PROV-0285,30-16490427-8,Empresa PROV-0285,Neuquén,Catering
PROV-0286,30-21641247-4,Empresa PROV-0286,Neuquén,Limpieza
PROV-0287,30-91350308-4,Empresa PROV-0287,CABA,Librería
PROV-0288,30-69268528-2,Empresa PROV-0288,Santa Fe,Librería
PROV-0289,30-69098252-9,Empresa PROV-0289,Neuquén,Consultoría
PROV-0290,30-42309249-7,Empresa PROV-0290,CABA,Catering
PROV-0291,30-12075870-8,Empresa PROV-0291,Santa Fe,Hardware
PROV-0292,30-77769035-4,Empresa PROV-0292,Buenos Aires,Hardware
PROV-0293,30-88117098-2,Empresa PROV-0293,Buenos Aires,Librería
PROV-0294,30-68015003-6,Empresa PROV-0294,CABA,Consultoría
PROV-0295,30-19836966-1,Empresa PROV-0295,CABA,Limpieza
PROV-0296,30-16433768-4,Empresa PROV-0296,Buenos Aires,Hardware
PROV-0297,30-16000543-1,Empresa PROV-0297,Buenos Aires,Librería
PROV-0298,30-78944457-5,Empresa PROV-0298,Santa Fe,Mantenimiento
PROV-0299,30-86207266-8,Empresa PROV-0299,Santa Fe,Mantenimiento
PROV-0300,30-78152961-3,Empresa PROV-0300,Mendoza,Catering
PROV-0301,30-79128986-4,Empresa PROV-0301,Buenos Aires,Mantenimiento
PROV-0302,30-70412200-5,Empresa PROV-0302,CABA,Hardware
PROV-0303,30-74967281-0,Empresa PROV-0303,Santa Fe,Consultoría
PROV-0304,30-84359047-1,Empresa PROV-0304,Córdoba,Librería
PROV-0305,30-77898533-4,Empresa PROV-0305,CABA,Consultoría
PROV-0306,30-69086756-3,Empresa PROV-0306,Buenos Aires,Librería
PROV-0307,30-46837495-1,Empresa PROV-0307,Buenos Aires,Limpieza
PROV-0308,30-18218637-8,Empresa PROV-0308,Córdoba,Limpieza
PROV-0309,30-47685686-3,Empresa PROV-0309,Santa Fe,Catering
PROV-0310,30-73291820-6,Empresa PROV-0310,Córdoba,Librería
PROV-0311,30-96685995-2,Empresa PROV-0311,Buenos Aires,Hardware
PROV-0312,30-22338219-2,Empresa PROV-0312,Neuquén,Hardware
PROV-0313,30-78956002-2,Empresa PROV-0313,Mendoza,Librería
PROV-0314,30-21943117-8,Empresa PROV-0314,Mendoza,Catering
PROV-0315,30-94628137-3,Empresa PROV-0315,Neuquén,Hardware
PROV-0316,30-48731746-3,Empresa PROV-0316,Mendoza,Hardware
PROV-0317,30-55224284-4,Empresa PROV-0317,CABA,Mantenimiento
PROV-0318,30-77823082-5,Empresa PROV-0318,Córdoba,Limpieza
PROV-0319,30-47406470-0,Empresa PROV-0319,Mendoza,Limpieza
PROV-0320,30-65721999-8,Empresa PROV-0320,CABA,Librería
PROV-0321,30-59575831-9,Empresa PROV-0321,Córdoba,Consultoría
PROV-0322,30-86100633-3,Empresa PROV-0322,Santa Fe,Catering
PROV-0323,30-17972405-6,Empresa PROV-0323,Neuquén,Limpieza
PROV-0324,30-72434013-4,Empresa PROV-0324,Neuquén,Limpieza
PROV-0325,30-24022742-7,Empresa PROV-0325,Córdoba,Librería
PROV-0326,30-68270916-5,Empresa PROV-0326,Neuquén,Limpieza
PROV-0327,30-39286734-2,Empresa PROV-0327,Neuquén,Limpieza
PROV-0328,30-96587655-9,Empresa PROV-0328,CABA,Hardware
PROV-0329,30-51096236-5,Empresa PROV-0329,Neuquén,Librería
PROV-0330,30-55019969-7,Empresa PROV-0330,Santa Fe,Mantenimiento
PROV-0331,30-13014406-0,Empresa PROV-0331,Santa Fe,Librería
PROV-0332,30-75407772-0,Empresa PROV-0332,Neuquén,Limpieza
PROV-0333,30-13765328-4,Empresa PROV-0333,Santa Fe,Limpieza
PROV-0334,30-48911819-3,Empresa PROV-0334,Córdoba,Limpieza
PROV-0335,30-75009558-5,Empresa PROV-0335,Buenos Aires,Hardware
PROV-0336,30-22644155-3,Empresa PROV-0336,Córdoba,Catering
PROV-0337,30-58024260-4,Empresa PROV-0337,CABA,Catering
PROV-0338,30-79250604-3,Empresa PROV-0338,Buenos Aires,Librería
PROV-0339,30-97270114-2,Empresa PROV-0339,Buenos Aires,Librería
PROV-0340,30-96929903-1,Empresa PROV-0340,Buenos Aires,Catering
PROV-0341,30-72305458-9,Empresa PROV-0341,Buenos Aires,Consultoría
PROV-0342,30-36987932-4,Empresa PROV-0342,Neuquén,Mantenimiento
PROV-0343,30-80386879-4,Empresa PROV-0343,Neuquén,Limpieza
PROV-0344,30-88005600-6,Empresa PROV-0344,Córdoba,Librería
PROV-0345,30-89251777-0,Empresa PROV-0345,Santa Fe,Limpieza
PROV-0346,30-67125681-1,Empresa PROV-0346,Buenos Aires,Limpieza
PROV-0347,30-11420316-1,Empresa PROV-0347,Buenos Aires,Mantenimiento
PROV-0348,30-47697987-5,Empresa PROV-0348,Mendoza,Consultoría
PROV-0349,30-98321231-2,Empresa PROV-0349,CABA,Librería
PROV-0350,30-69707133-4,Empresa PROV-0350,CABA,Limpieza
PROV-0351,30-19608864-7,Empresa PROV-0351,Santa Fe,Librería
PROV-0352,30-31965778-2,Empresa PROV-0352,Buenos Aires,Mantenimiento
PROV-0353,30-12199382-7,Empresa PROV-0353,Mendoza,Mantenimiento
PROV-0354,30-48194301-4,Empresa PROV-0354,CABA,Catering
PROV-0355,30-86345875-6,Empresa PROV-0355,Neuquén,Limpieza
PROV-0356,30-58811423-1,Empresa PROV-0356,Mendoza,Hardware
PROV-0357,30-86058977-1,Empresa PROV-0357,Santa Fe,Librería
PROV-0358,30-35796971-5,Empresa PROV-0358,CABA,Hardware
PROV-0359,30-86457950-1,Empresa PROV-0359,CABA,Mantenimiento
PROV-0360,30-84406596-8,Empresa PROV-0360,Neuquén,Mantenimiento
PROV-0361,30-16333431-9,Empresa PROV-0361,Santa Fe,Consultoría
PROV-0362,30-16149036-5,Empresa PROV-0362,Neuquén,Librería
PROV-0363,30-64975630-8,Empresa PROV-0363,Buenos Aires,Hardware
PROV-0364,30-86390412-7,Empresa PROV-0364,Buenos Aires,Hardware
PROV-0365,30-64860127-1,Empresa PROV-0365,Neuquén,Catering
PROV-0366,30-64620222-7,Empresa PROV-0366,Mendoza,Hardware
PROV-0367,30-87308165-4,Empresa PROV-0367,Córdoba,Librería
PROV-0368,30-58973269-4,Empresa PROV-0368,Neuquén,Mantenimiento
PROV-0369,30-65001568-7,Empresa PROV-0369,CABA,Hardware
PROV-0370,30-40506507-5,Empresa PROV-0370,Neuquén,Consultoría
